playerid,player,salary,opp,pos,team,proj,floor,ceil
37055,Johnny Mundt,2500,ARI,TE,LAR,0.16,-0.21,3.4
21751,James O'Shaughnessy,2500,IND,TE,JAC,4.63,1.7,9.1
1849728,Joe Reed,3000,KCC,WR,LAC,0.47,-0.1325,4.4
16587,Jordan Reed,2900,SEA,TE,SF,3.81,0.8,7.9
37051,Josh Reynolds,3200,ARI,WR,LAR,11.41,5.6,18.4
328187,Jaylen Samuels,4000,CLE,RB,PIT,0.8,-0.04999999999999999,5.2
36950,Jonnu Smith,3800,HOU,TE,TEN,9.47,4.0,15.1
36849,JuJu Smith-Schuster,6400,CLE,WR,PIT,12.71,6.7,19.8
982141,Jace Sternberger,2700,CHI,TE,GB,1.51,0.1275,5.4
982257,Jarrett Stidham,5400,NYJ,QB,NE,2.5,0.375,7.9
1844398,J.J. Taylor,4000,NYJ,RB,NE,3.17,0.4,8.5
1844485,Jonathan Taylor,7400,JAC,RB,IND,20.57,9.2,32.4
328180,James Washington,3500,CLE,WR,PIT,5.13,1.4,10.1
18458,James White,4500,NYJ,RB,NE,10.77,4.4,18.6
328488,Jordan Wilkins,4000,JAC,RB,IND,1.23,0.057499999999999996,5.7
36872,Jamaal Williams,4400,CHI,RB,GB,6.39,1.1,13.5
329007,Jeff Wilson,6000,SEA,RB,SF,14.36,5.8,22.9
328210,Javon Wims,3000,GBP,WR,CHI,1.04,0.010000000000000009,4.7
11787,Jason Witten,2500,DEN,TE,LVR,2.31,0.3275,6.0
508426,John Wolford,4900,ARI,QB,LAR,17.53,9.2,26.4
328362,Kalen Ballage,4000,KCC,RB,LAC,7.79,1.9,14.8
982177,Khari Blasingame,4000,HOU,RB,TEN,0.1,-0.225,4.4
37068,Kendrick Bourne,4300,SEA,WR,SF,9.59,4.4,15.6
36940,Keelan Cole,3400,IND,WR,JAC,13.88,7.2,21.7
13563,Kirk Cousins,6300,DET,QB,MIN,21.89,14.0,30.2
328462,Keke Coutee,5600,TEN,WR,HOU,12.35,5.7,19.3
35482,Kenyan Drake,5400,LAR,RB,ARI,12.38,4.6,21.0
1849727,K.J. Hill,3000,KCC,WR,LAC,2.02,0.255,6.7
509432,Khadarel Hodge,3000,PIT,WR,CLE,1.38,0.09499999999999997,5.3
37015,Kareem Hunt,5900,PIT,RB,CLE,12.24,4.3,21.4
982783,KeeSean Johnson,3000,LAR,WR,ARI,7.82,3.2,13.6
328243,Kerryon Johnson,4000,MIN,RB,DET,2.45,0.36250000000000004,6.8
18516,Kyle Juszczyk,4000,SEA,RB,SF,4.02,0.8,9.4
973153,Kyler Murray,7500,LAR,QB,ARI,21.2,11.3,31.6
328273,Kevin Rader,4000,CLE,TE,PIT,0.29,-0.1775,3.4
35608,Kalif Raymond,3000,HOU,WR,TEN,1.84,0.21000000000000002,5.7
982844,Kaden Smith,2500,DAL,TE,NYG,1.72,0.18,5.7
35717,Keith Smith,4000,TBB,RB,ATL,1.86,0.21500000000000002,6.1
1844803,Ke'Shawn Vaughn,4400,ATL,RB,TB,1.88,0.21999999999999997,6.7
982316,Kahale Warring,2500,TEN,TE,HOU,2.34,0.33499999999999996,6.3
16538,Le'Veon Bell,5700,LAC,RB,KC,1.98,0.245,7.0
1844831,LeVante Bellamy,4000,LVR,RB,DEN,0.82,-0.04500000000000001,5.2
